date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:45:17	13772/13772	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2262729012-35cc%22	https://www.theiptv.store/-_-/common/fonts/Poppins-latin_latin-ext-700italic.eot	C:/My%20Web%20Sites/ip1/www.theiptv.store/-_-/common/fonts/Poppins-latin_latin-ext-700italic.eot	(from https://www.theiptv.store/)
21:45:18	13772/13772	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2262729012-35cc%22	https://www.theiptv.store/-_-/common/fonts/Poppins-latin_latin-ext-700italic.eot?	C:/My%20Web%20Sites/ip1/www.theiptv.store/-_-/common/fonts/Poppins-latin_latin-ext-700italicd41d.eot	(from https://www.theiptv.store/)
21:45:18	12256/12256	---M--	200	added ('OK')	font/woff2	etag:%2262729012-2fe0%22	https://www.theiptv.store/-_-/common/fonts/Poppins-latin_latin-ext-700italic.woff2	C:/My%20Web%20Sites/ip1/www.theiptv.store/-_-/common/fonts/Poppins-latin_latin-ext-700italic.woff2	(from https://www.theiptv.store/)
21:45:18	16080/16080	---M--	200	added ('OK')	font/woff	etag:%2262729012-3ed0%22	https://www.theiptv.store/-_-/common/fonts/Poppins-latin_latin-ext-700italic.woff	C:/My%20Web%20Sites/ip1/www.theiptv.store/-_-/common/fonts/Poppins-latin_latin-ext-700italic.woff	(from https://www.theiptv.store/)
21:45:18	25092/25092	---M--	200	added ('OK')	application/octet-stream	etag:%2262729012-6204%22	https://www.theiptv.store/-_-/common/fonts/Poppins-latin_latin-ext-700italic.ttf	C:/My%20Web%20Sites/ip1/www.theiptv.store/-_-/common/fonts/Poppins-latin_latin-ext-700italic.ttf	(from https://www.theiptv.store/)
21:45:18	58032/58032	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262729012-e2b0%22	https://www.theiptv.store/-_-/common/fonts/Poppins-latin_latin-ext-700italic.svg	C:/My%20Web%20Sites/ip1/www.theiptv.store/-_-/common/fonts/Poppins-latin_latin-ext-700italic.svg	(from https://www.theiptv.store/)
21:45:19	21049/21049	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2262729012-5239%22	https://www.theiptv.store/-_-/common/fonts/OpenSans-latin_latin-ext-regular.eot	C:/My%20Web%20Sites/ip1/www.theiptv.store/-_-/common/fonts/OpenSans-latin_latin-ext-regular.eot	(from https://www.theiptv.store/)
21:45:19	21049/21049	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2262729012-5239%22	https://www.theiptv.store/-_-/common/fonts/OpenSans-latin_latin-ext-regular.eot?	C:/My%20Web%20Sites/ip1/www.theiptv.store/-_-/common/fonts/OpenSans-latin_latin-ext-regulard41d.eot	(from https://www.theiptv.store/)
21:45:19	19396/19396	---M--	200	added ('OK')	font/woff2	etag:%2262729012-4bc4%22	https://www.theiptv.store/-_-/common/fonts/OpenSans-latin_latin-ext-regular.woff2	C:/My%20Web%20Sites/ip1/www.theiptv.store/-_-/common/fonts/OpenSans-latin_latin-ext-regular.woff2	(from https://www.theiptv.store/)
21:45:19	24364/24364	---M--	200	added ('OK')	font/woff	etag:%2262729012-5f2c%22	https://www.theiptv.store/-_-/common/fonts/OpenSans-latin_latin-ext-regular.woff	C:/My%20Web%20Sites/ip1/www.theiptv.store/-_-/common/fonts/OpenSans-latin_latin-ext-regular.woff	(from https://www.theiptv.store/)
